"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Aboriginal population","    Multiple Aboriginal and non-Aboriginal ancestries",93,       0,,       0,,       0,,   55125,,   25505,,   29625,
"Aboriginal population","      First Nations (North American Indian); Métis and non-Aboriginal ancestries",,       0,,       0,,       0,,   49325,,   22740,,   26585,
"Aboriginal population","      First Nations (North American Indian); Inuit and non-Aboriginal ancestries",,       0,,       0,,       0,,    3470,,    1655,,    1815,
"Aboriginal population","      Métis; Inuit and non-Aboriginal ancestries",,       0,,       0,,       0,,    2005,,     940,,    1065,
"Aboriginal population","      First Nations (North American Indian); Métis; Inuit and non-Aboriginal ancestries",,       0,,       0,,       0,,     325,,     170,,     160,
"Aboriginal population","  Non-Aboriginal ancestry (only)",94,   40470,,   18985,,   21485,,32329545,,15944900,,16384645,
"Visible minority population","Total - Visible minority for the population in private households - 25% sample data",95,   40655,,   19095,,   21560,,34460065,,16971575,,17488485,
"Visible minority population","  Total visible minority population",96,   17855,,    8170,,    9685,, 7674580,, 3725090,, 3949495,
"Visible minority population","    South Asian",97,    1240,,     650,,     590,, 1924635,,  977690,,  946945,
"Visible minority population","    Chinese",,    1660,,     825,,     835,, 1577060,,  746400,,  830665,
"Visible minority population","    Black",,    1375,,     640,,     740,, 1198540,,  580070,,  618475,
"Visible minority population","    Filipino",,    8315,,    3460,,    4855,,  780125,,  341800,,  438330,
"Visible minority population","    Latin American",,     690,,     340,,     345,,  447325,,  215460,,  231860,
"Visible minority population","    Arab",,     325,,     170,,     160,,  523235,,  276425,,  246810,
"Visible minority population","    Southeast Asian",98,     200,,      80,,     110,,  313260,,  148880,,  164385,
"Visible minority population","    West Asian",99,    1600,,     825,,     770,,  264305,,  133475,,  130825,
"Visible minority population","    Korean",,    1550,,     780,,     770,,  188710,,   89110,,   99600,
"Visible minority population","    Japanese",,     150,,      60,,      90,,   92920,,   40105,,   52815,
"Visible minority population","    Visible minority; n.i.e.",100,     200,,      95,,     105,,  132090,,   62540,,   69550,
"Visible minority population","    Multiple visible minorities",101,     555,,     240,,     315,,  232375,,  113140,,  119230,
"Visible minority population","  Not a visible minority",102,   22800,,   10925,,   11875,,26785480,,13246485,,13539000,
"Ethnic origin population","Total - Ethnic origin for the population in private households - 25% sample data",103,   40655,,   19095,,   21560,,34460065,,16971575,,17488485,
"Ethnic origin population","  North American Aboriginal origins",,     185,,     110,,      75,, 2130520,, 1026675,, 1103840,
"Ethnic origin population","    First Nations (North American Indian)",,      85,,      55,,      30,, 1525570,,  731410,,  794155,
"Ethnic origin population","    Inuit",,      10,,       0,,       0,,   79130,,   38695,,   40435,
"Ethnic origin population","    Métis",,      90,,      50,,      35,,  599995,,  291310,,  308690,
"Ethnic origin population","  Other North American origins",,    2835,,    1410,,    1420,,11628535,, 5745695,, 5882835,
"Ethnic origin population","    Acadian",,      30,,      15,,      10,,  119675,,   57805,,   61865,
"Ethnic origin population","    American",,     225,,     115,,     110,,  377405,,  182690,,  194715,
"Ethnic origin population","    Canadian",,    2620,,    1305,,    1315,,11135965,, 5501595,, 5634370,
"Ethnic origin population","    New Brunswicker",,       0,,       0,,       0,,    1490,,     800,,     685,
"Ethnic origin population","    Newfoundlander",,      10,,       0,,       0,,   22215,,   11420,,   10800,
"Ethnic origin population","    Nova Scotian",,       0,,       0,,       0,,    3700,,    1770,,    1930,
"Ethnic origin population","    Ontarian",,       0,,       0,,       0,,    3925,,    1980,,    1945,
"Ethnic origin population","    Québécois",,      35,,      15,,      20,,  194560,,   99320,,   95235,
"Ethnic origin population","    Other North American origins; n.i.e.",104,       0,,       0,,       0,,    1895,,     950,,     945,
"Ethnic origin population","  European origins",,   21270,,   10070,,   11200,,19683320,, 9687715,, 9995605,
"Ethnic origin population","    British Isles origins",,    3385,,    1705,,    1680,,11211850,, 5474735,, 5737115,
"Ethnic origin population","      Channel Islander",,      10,,      10,,       0,,    3595,,    1740,,    1855,
"Ethnic origin population","      Cornish",,       0,,       0,,       0,,    1975,,     995,,     975,
"Ethnic origin population","      English",,    2160,,    1095,,    1065,, 6320085,, 3069515,, 3250570,
"Ethnic origin population","      Irish",,    1115,,     635,,     485,, 4627000,, 2195620,, 2431385,
"Ethnic origin population","      Manx",,       0,,       0,,       0,,    6125,,    3090,,    3040,
"Ethnic origin population","      Scottish",,    1175,,     585,,     590,, 4799005,, 2323390,, 2475620,
"Ethnic origin population","      Welsh",,     135,,      70,,      65,,  474805,,  226600,,  248210,
"Ethnic origin population","      British Isles origins; n.i.e.",105,     310,,     130,,     180,,  644695,,  307090,,  337610,
"Ethnic origin population","    French origins",,     595,,     285,,     310,, 4680820,, 2283480,, 2397340,
"Ethnic origin population","      Alsatian",,       0,,       0,,       0,,    2800,,    1300,,    1495,
"Ethnic origin population","      Breton",,       0,,       0,,       0,,   11845,,    5765,,    6080,
"Ethnic origin population","      Corsican",,       0,,       0,,       0,,    1750,,     950,,     805,
"Ethnic origin population","      French",,     600,,     285,,     310,, 4670595,, 2278430,, 2392165,
"Ethnic origin population","    Western European origins (except French origins)",,    1585,,     805,,     780,, 4600855,, 2258095,, 2342760,
"Ethnic origin population","      Austrian",,     295,,     165,,     135,,  207050,,  100775,,  106275,
"Ethnic origin population","      Bavarian",,       0,,       0,,       0,,     940,,     485,,     455,
"Ethnic origin population","      Belgian",,      30,,      15,,      15,,  186665,,   91395,,   95270,
"Ethnic origin population","      Dutch",,     290,,     145,,     145,, 1111655,,  546565,,  565090,
"Ethnic origin population","      Flemish",,       0,,       0,,       0,,   11685,,    5730,,    5960,
"Ethnic origin population","      Frisian",,       0,,       0,,       0,,    4590,,    2395,,    2195,
"Ethnic origin population","      German",,    1090,,     545,,     545,, 3322405,, 1626785,, 1695615,
"Ethnic origin population","      Luxembourger",,       0,,       0,,       0,,    3915,,    2025,,    1890,
"Ethnic origin population","      Swiss",,      25,,       0,,      20,,  155120,,   76935,,   78185,
"Ethnic origin population","      Western European origins; n.i.e.",106,       0,,       0,,       0,,    3365,,    1645,,    1720,
"Ethnic origin population","    Northern European origins (except British Isles origins)",,     125,,      50,,      75,, 1201320,,  579005,,  622315,
"Ethnic origin population","      Danish",,      35,,      15,,      15,,  207470,,  100660,,  106810,
"Ethnic origin population","      Finnish",,      40,,      15,,      25,,  143645,,   69045,,   74600,
"Ethnic origin population","      Icelandic",,       0,,       0,,       0,,  101795,,   49875,,   51915,
"Ethnic origin population","      Norwegian",,      30,,       0,,      25,,  463275,,  223075,,  240200,
"Ethnic origin population","      Swedish",,      30,,      15,,      10,,  349645,,  163545,,  186095,
"Ethnic origin population","      Northern European origins; n.i.e.",107,      10,,      10,,      10,,   52780,,   26965,,   25820,
"Ethnic origin population","    Eastern European origins",,   12930,,    5890,,    7045,, 3431245,, 1666740,, 1764505,
"Ethnic origin population","      Bulgarian",,     215,,      75,,     145,,   34565,,   16935,,   17625,
"Ethnic origin population","      Byelorussian",,     540,,     280,,     260,,   20710,,   10190,,   10515,
"Ethnic origin population","      Czech",,     195,,     115,,      85,,  104580,,   51555,,   53030,
"Ethnic origin population","      Czechoslovakian; n.o.s.",108,      50,,      20,,      25,,   40715,,   19235,,   21480,
"Ethnic origin population","      Estonian",,      25,,      20,,      10,,   24530,,   11715,,   12815,
"Ethnic origin population","      Hungarian",,     750,,     370,,     385,,  348085,,  170040,,  178045,
"Ethnic origin population","      Latvian",,     275,,     140,,     135,,   30725,,   14920,,   15805,
"Ethnic origin population","      Lithuanian",,     310,,     145,,     165,,   59285,,   28745,,   30535,
"Ethnic origin population","      Moldovan",,     325,,     180,,     145,,   14915,,    7265,,    7650,
"Ethnic origin population","      Polish",,    2670,,    1240,,    1430,, 1106585,,  533830,,  572750,
"Ethnic origin population","      Romanian",,    1095,,     505,,     590,,  238050,,  114705,,  123345,
"Ethnic origin population","      Russian",,    6815,,    3000,,    3815,,  622445,,  297600,,  324850,
"Ethnic origin population","      Slovak",,      80,,      40,,      40,,   72285,,   35360,,   36925,
"Ethnic origin population","      Ukrainian",,    2940,,    1335,,    1610,, 1359655,,  663560,,  696095,
"Ethnic origin population","      Eastern European origins; n.i.e.",109,     200,,     105,,      95,,   20415,,    9895,,   10520,
"Ethnic origin population","    Southern European origins",,    3730,,    1845,,    1885,, 3012375,, 1494605,, 1517775,
"Ethnic origin population","      Albanian",,     135,,      70,,      65,,   36185,,   18385,,   17800,
"Ethnic origin population","      Bosnian",,      40,,      10,,      25,,   26740,,   13320,,   13420,
"Ethnic origin population","      Catalan",,       0,,       0,,       0,,    1280,,     740,,     535,
"Ethnic origin population","      Croatian",,     145,,      70,,      70,,  133970,,   67825,,   66140,
"Ethnic origin population","      Cypriot",,       0,,       0,,       0,,    5650,,    2850,,    2795,
"Ethnic origin population","      Greek",,     465,,     220,,     250,,  271410,,  137405,,  134005,
"Ethnic origin population","      Italian",,    1415,,     715,,     700,, 1587965,,  794525,,  793445,
"Ethnic origin population","      Kosovar",,       0,,       0,,       0,,    2865,,    1470,,    1395,
"Ethnic origin population","      Macedonian",,      60,,      35,,      25,,   43110,,   21650,,   21460,
"Ethnic origin population","      Maltese",,      55,,      20,,      35,,   41920,,   20955,,   20965,
"Ethnic origin population","      Montenegrin",,      15,,      10,,      10,,    4160,,    2180,,    1985,
"Ethnic origin population","      Portuguese",,     395,,     205,,     190,,  482605,,  239360,,  243250,
"Ethnic origin population","      Serbian",,     265,,     165,,     100,,   96530,,   49095,,   47440,
"Ethnic origin population","      Sicilian",,       0,,       0,,       0,,    6940,,    3500,,    3435,
"Ethnic origin population","      Slovenian",,      45,,      15,,      30,,   40470,,   20105,,   20365,
"Ethnic origin population","      Spanish",,     985,,     470,,     520,,  396460,,  184520,,  211945,
"Ethnic origin population","      Yugoslavian; n.o.s.",110,      35,,      15,,      25,,   38480,,   18620,,   19860,
"Ethnic origin population","      Southern European origins; n.i.e.",111,      10,,       0,,      10,,    2170,,    1030,,    1135,
"Ethnic origin population","    Other European origins",,    3810,,    1875,,    1935,,  226695,,  115110,,  111580,
"Ethnic origin population","      Basque",,       0,,       0,,       0,,    6965,,    3690,,    3275,
"Ethnic origin population","      Jewish",,    3700,,    1820,,    1885,,  143660,,   72625,,   71035,
"Ethnic origin population","      Roma (Gypsy)",,       0,,       0,,       0,,    4630,,    2195,,    2440,
"Ethnic origin population","      Slavic; n.o.s.",112,      10,,       0,,       0,,    4870,,    2560,,    2310,
"Ethnic origin population","      Other European origins; n.i.e.",113,     110,,      55,,      55,,   67890,,   34730,,   33160,
"Ethnic origin population","  Caribbean origins",,    1090,,     510,,     585,,  749155,,  349810,,  399345,
"Ethnic origin population","    Antiguan",,      25,,      10,,      20,,    4500,,    2115,,    2385,
"Ethnic origin population","    Bahamian",,      15,,      10,,      10,,    3675,,    1915,,    1760,
"Ethnic origin population","    Barbadian",,      35,,      10,,      25,,   37780,,   17745,,   20035,
"Ethnic origin population","    Bermudan",,      10,,      10,,       0,,    3075,,    1435,,    1640,
"Ethnic origin population","    Carib",,       0,,       0,,       0,,    3030,,    1175,,    1860,
"Ethnic origin population","    Cuban",,      55,,      25,,      30,,   29065,,   13800,,   15270,
"Ethnic origin population","    Dominican",,      35,,      15,,      15,,   23130,,   11000,,   12125,
"Ethnic origin population","    Grenadian",,      35,,      25,,      15,,   17915,,    7835,,   10080,
"Ethnic origin population","    Guadeloupean",,       0,,       0,,       0,,    1125,,     515,,     605,
"Ethnic origin population","    Haitian",,       0,,      10,,       0,,  165095,,   76460,,   88635,
"Ethnic origin population","    Jamaican",,     720,,     355,,     375,,  309485,,  145080,,  164410,
"Ethnic origin population","    Kittitian/Nevisian",,      10,,       0,,       0,,    2915,,    1460,,    1460,
"Ethnic origin population","    Martinican",,       0,,       0,,       0,,    2010,,     900,,    1110,
"Ethnic origin population","    Montserratan",,       0,,       0,,       0,,     930,,     460,,     470,
"Ethnic origin population","    Puerto Rican",,      10,,       0,,       0,,    3405,,    1645,,    1765,
"Ethnic origin population","    St. Lucian",,      30,,      15,,      20,,    8985,,    4095,,    4890,
"Ethnic origin population","    Trinidadian/Tobagonian",,      75,,      45,,      35,,   78965,,   37325,,   41635,
"Ethnic origin population","    Vincentian/Grenadinian",,      10,,       0,,      10,,   17420,,    7475,,    9945,
"Ethnic origin population","    West Indian; n.o.s.",114,      95,,      40,,      55,,   70270,,   31625,,   38645,
"Ethnic origin population","    Caribbean origins; n.i.e.",115,      50,,      15,,      35,,   26830,,   12520,,   14310,
"Ethnic origin population","  Latin; Central and South American origins",,     960,,     455,,     510,,  674640,,  325210,,  349430,
"Ethnic origin population","    Aboriginal from Central/South America (except Arawak and Maya)",,      20,,      15,,       0,,   22725,,   10875,,   11850,
"Ethnic origin population","    Arawak",,       0,,       0,,       0,,    1440,,     610,,     830,
"Ethnic origin population","    Argentinian",,      75,,      35,,      45,,   20680,,   10130,,   10545,
"Ethnic origin population","    Belizean",,       0,,       0,,       0,,    1755,,     915,,     845,
"Ethnic origin population","    Bolivian",,       0,,       0,,       0,,    5055,,    2480,,    2580,
"Ethnic origin population","    Brazilian",,      25,,      20,,      10,,   36830,,   17380,,   19455,
"Ethnic origin population","    Chilean",,      45,,      30,,      20,,   45190,,   22280,,   22910,
"Ethnic origin population","    Colombian",,     220,,     110,,     115,,   96325,,   45590,,   50735,
"Ethnic origin population","    Costa Rican",,      10,,       0,,      10,,    5535,,    2680,,    2855,
"Ethnic origin population","    Ecuadorian",,      95,,      45,,      50,,   25405,,   11995,,   13415,
"Ethnic origin population","    Guatemalan",,      15,,      10,,      10,,   26275,,   13360,,   12915,
"Ethnic origin population","    Guyanese",,     105,,      40,,      65,,   84275,,   39530,,   44745,
"Ethnic origin population","    Hispanic",,      20,,      15,,       0,,   11055,,    5380,,    5670,
"Ethnic origin population","    Honduran",,      10,,       0,,       0,,   10650,,    5235,,    5415,
"Ethnic origin population","    Maya",,      25,,      10,,      10,,    6285,,    3350,,    2940,
"Ethnic origin population","    Mexican",,     130,,      75,,      55,,  128485,,   62890,,   65595,
"Ethnic origin population","    Nicaraguan",,      15,,      10,,       0,,   13705,,    6650,,    7055,
"Ethnic origin population","    Panamanian",,      10,,      10,,       0,,    4700,,    2210,,    2495,
"Ethnic origin population","    Paraguayan",,       0,,       0,,       0,,    4325,,    2165,,    2160,
"Ethnic origin population","    Peruvian",,      75,,      30,,      45,,   42145,,   19645,,   22505,
"Ethnic origin population","    Salvadorean",,      65,,      30,,      25,,   66220,,   32960,,   33255,
"Ethnic origin population","    Uruguayan",,      25,,      10,,      10,,    6795,,    3390,,    3410,
"Ethnic origin population","    Venezuelan",,      15,,      10,,      10,,   26345,,   12220,,   14125,
"Ethnic origin population","    Latin; Central and South American origins; n.i.e.",116,      40,,      10,,      25,,   28455,,   13930,,   14525,
"Ethnic origin population","  African origins",,    1140,,     550,,     585,, 1067930,,  539805,,  528120,
"Ethnic origin population","    Central and West African origins",,     175,,      75,,     100,,  230110,,  118040,,  112070,
"Ethnic origin population","      Akan",,      10,,       0,,      10,,    1955,,    1090,,     870,
"Ethnic origin population","      Angolan",,      10,,       0,,       0,,    2960,,    1475,,    1480,
"Ethnic origin population","      Ashanti",,       0,,      10,,       0,,    1585,,     855,,     735,
"Ethnic origin population","      Beninese",,       0,,       0,,       0,,    4995,,    2670,,    2320,
"Ethnic origin population","      Burkinabe",,       0,,       0,,       0,,    3150,,    1665,,    1485,
"Ethnic origin population","      Cameroonian",,      15,,       0,,      10,,   24615,,   12390,,   12230,
"Ethnic origin population","      Chadian",,       0,,       0,,       0,,    1845,,     955,,     885,
"Ethnic origin population","      Congolese",,      10,,       0,,      10,,   38365,,   18925,,   19440,
"Ethnic origin population","      Edo",,       0,,       0,,       0,,    1945,,    1095,,     855,
"Ethnic origin population","      Ewe",,       0,,       0,,       0,,     845,,     470,,     375,
"Ethnic origin population","      Gabonese",,       0,,       0,,       0,,    1405,,     660,,     750,
"Ethnic origin population","      Gambian",,       0,,       0,,       0,,     975,,     495,,     475,
"Ethnic origin population","      Ghanaian",,      10,,      10,,       0,,   35495,,   17720,,   17770,
"Ethnic origin population","      Guinean",,       0,,       0,,       0,,    7240,,    3785,,    3455,
"Ethnic origin population","      Ibo",,       0,,       0,,       0,,    5315,,    2850,,    2470,
"Ethnic origin population","      Ivorian",,      20,,      10,,      10,,   10935,,    5485,,    5450,
"Ethnic origin population","      Liberian",,       0,,       0,,       0,,    2485,,    1130,,    1360,
"Ethnic origin population","      Malian",,       0,,       0,,       0,,    4490,,    2280,,    2210,
"Ethnic origin population","      Malinké",,       0,,       0,,       0,,    1125,,     585,,     535,
"Ethnic origin population","      Nigerian",,      85,,      30,,      55,,   51835,,   27025,,   24805,
"Ethnic origin population","      Peulh",,       0,,       0,,       0,,    2435,,    1270,,    1170,
"Ethnic origin population","      Senegalese",,       0,,       0,,       0,,   10175,,    5500,,    4670,
"Ethnic origin population","      Sierra Leonean",,      10,,      10,,       0,,    2620,,    1330,,    1295,
"Ethnic origin population","      Togolese",,       0,,       0,,       0,,    5300,,    2870,,    2430,
"Ethnic origin population","      Wolof",,       0,,       0,,       0,,     840,,     495,,     345,
"Ethnic origin population","      Yoruba",,      15,,      15,,       0,,    9585,,    5075,,    4515,
"Ethnic origin population","      Central and West African origins; n.i.e.",117,       0,,       0,,       0,,   15380,,    7940,,    7445,
"Ethnic origin population","    North African origins",,     495,,     250,,     245,,  355045,,  185775,,  169270,
"Ethnic origin population","      Algerian",,      20,,      15,,       0,,   67335,,   34755,,   32580,
"Ethnic origin population","      Berber",,       0,,       0,,      10,,   37060,,   19685,,   17375,
"Ethnic origin population","      Coptic",,       0,,       0,,       0,,    3535,,    1860,,    1680,
"Ethnic origin population","      Dinka",,       0,,       0,,       0,,     900,,     500,,     400,
"Ethnic origin population","      Egyptian",,     135,,      85,,      50,,   99140,,   51730,,   47410,
"Ethnic origin population","      Libyan",,       0,,       0,,       0,,    7740,,    4135,,    3605,
"Ethnic origin population","      Maure",,       0,,       0,,       0,,    1190,,     655,,     535,
"Ethnic origin population","      Moroccan",,     305,,     145,,     160,,  103940,,   54005,,   49945,
"Ethnic origin population","      Sudanese",,      10,,       0,,       0,,   19960,,   10315,,    9645,
"Ethnic origin population","      Tunisian",,      40,,      15,,      25,,   25645,,   13985,,   11665,
"Ethnic origin population","      North African origins; n.i.e.",118,       0,,       0,,       0,,    6115,,    3320,,    2795,
"Ethnic origin population","    Southern and East African origins",,     215,,      90,,     120,,  260145,,  128325,,  131815,
"Ethnic origin population","      Afrikaner",,       0,,       0,,       0,,    1870,,     955,,     915,
"Ethnic origin population","      Amhara",,       0,,       0,,       0,,    1530,,     815,,     715,
"Ethnic origin population","      Bantu; n.o.s.",119,       0,,       0,,       0,,    3965,,    2175,,    1785,
"Ethnic origin population","      Burundian",,      10,,       0,,      10,,   10990,,    5405,,    5580,
"Ethnic origin population","      Djiboutian",,       0,,       0,,       0,,    1710,,     790,,     920,
"Ethnic origin population","      Eritrean",,      25,,      10,,      10,,   25255,,   12830,,   12430,
"Ethnic origin population","      Ethiopian",,      75,,      30,,      45,,   44065,,   21680,,   22385,
"Ethnic origin population","      Harari",,       0,,       0,,       0,,     665,,     355,,     305,
"Ethnic origin population","      Kenyan",,      10,,       0,,       0,,   10915,,    5230,,    5685,
"Ethnic origin population","      Malagasy",,       0,,       0,,       0,,    4500,,    2175,,    2325,
"Ethnic origin population","      Mauritian",,      10,,       0,,       0,,    9325,,    4655,,    4665,
"Ethnic origin population","      Oromo",,       0,,       0,,       0,,    3350,,    1745,,    1605,
"Ethnic origin population","      Rwandan",,       0,,       0,,       0,,   10775,,    5065,,    5705,
"Ethnic origin population","      Seychellois",,       0,,       0,,       0,,    1285,,     575,,     710,
"Ethnic origin population","      Somali",,      40,,      10,,      30,,   62550,,   30215,,   32330,
"Ethnic origin population","      South African",,      75,,      40,,      35,,   41375,,   20575,,   20800,
"Ethnic origin population","      Tanzanian",,       0,,       0,,       0,,    4710,,    2400,,    2310,
"Ethnic origin population","      Tigrian",,       0,,       0,,       0,,    2155,,    1160,,     995,
"Ethnic origin population","      Ugandan",,       0,,       0,,       0,,    5705,,    2875,,    2830,
"Ethnic origin population","      Zambian",,       0,,       0,,       0,,    1860,,     935,,     920,
"Ethnic origin population","      Zimbabwean",,       0,,       0,,       0,,    8090,,    3975,,    4110,
"Ethnic origin population","      Zulu",,       0,,       0,,       0,,     945,,     475,,     475,
"Ethnic origin population","      Southern and East African origins; n.i.e.",120,      10,,       0,,      10,,   17305,,    8445,,    8860,
"Ethnic origin population","    Other African origins",,     270,,     140,,     130,,  239560,,  116400,,  123165,
"Ethnic origin population","      Black; n.o.s.",121,      40,,      15,,      25,,   30385,,   14015,,   16370,
"Ethnic origin population","      Other African origins; n.i.e.",122,     235,,     130,,     100,,  212005,,  103790,,  108215,
"Ethnic origin population","  Asian origins",,   18135,,    8315,,    9815,, 6095235,, 2958120,, 3137115,
"Ethnic origin population","    West Central Asian and Middle Eastern origins",,    4680,,    2320,,    2370,, 1011145,,  518170,,  492980,
"Ethnic origin population","      Afghan",,     190,,      95,,      95,,   83995,,   42320,,   41675,
"Ethnic origin population","      Arab; n.o.s.",123,      65,,      40,,      25,,  111400,,   58930,,   52475,
"Ethnic origin population","      Armenian",,     360,,     180,,     180,,   63810,,   31505,,   32305,
"Ethnic origin population","      Assyrian",,      35,,      25,,      10,,   13835,,    7115,,    6720,
"Ethnic origin population","      Azerbaijani",,     320,,     140,,     180,,    6425,,    3230,,    3200,
"Ethnic origin population","      Georgian",,     565,,     305,,     260,,    4775,,    2430,,    2345,
"Ethnic origin population","      Hazara",,       0,,       0,,       0,,    1515,,     810,,     705,
"Ethnic origin population","      Iranian",,    1325,,     650,,     670,,  210405,,  106565,,  103840,
"Ethnic origin population","      Iraqi",,     180,,      75,,     100,,   70925,,   35965,,   34955,
"Ethnic origin population","      Israeli",,     695,,     325,,     370,,   28735,,   15065,,   13675,
"Ethnic origin population","      Jordanian",,      40,,      25,,      15,,   14250,,    7520,,    6735,
"Ethnic origin population","      Kazakh",,      95,,      40,,      55,,    3330,,    1615,,    1710,
"Ethnic origin population","      Kurd",,      55,,      35,,      15,,   16315,,    8810,,    7515,
"Ethnic origin population","      Kuwaiti",,       0,,       0,,       0,,    2235,,    1185,,    1055,
"Ethnic origin population","      Kyrgyz",,      15,,      10,,       0,,    1060,,     510,,     550,
"Ethnic origin population","      Lebanese",,     120,,      60,,      65,,  219555,,  112970,,  106590,
"Ethnic origin population","      Palestinian",,       0,,       0,,       0,,   44820,,   23900,,   20920,
"Ethnic origin population","      Pashtun",,      10,,       0,,      10,,    4810,,    2565,,    2245,
"Ethnic origin population","      Saudi Arabian",,       0,,       0,,       0,,    6810,,    3935,,    2880,
"Ethnic origin population","      Syrian",,      75,,      20,,      55,,   77045,,   38445,,   38600,
"Ethnic origin population","      Tajik",,     125,,      70,,      50,,    2905,,    1410,,    1495,
"Ethnic origin population","      Tatar",,     110,,      40,,      70,,    4825,,    2155,,    2670,
"Ethnic origin population","      Turk",,     260,,     120,,     145,,   63955,,   32855,,   31100,
"Ethnic origin population","      Turkmen",,      10,,      10,,       0,,    1040,,     540,,     500,
"Ethnic origin population","      Uighur",,       0,,       0,,       0,,    1555,,     775,,     785,
"Ethnic origin population","      Uzbek",,     245,,     145,,     100,,    3920,,    1920,,    2000,
"Ethnic origin population","      Yemeni",,      15,,      10,,       0,,    6645,,    3335,,    3305,
"Ethnic origin population","      West Central Asian and Middle Eastern origins; n.i.e.",124,     130,,      75,,      50,,   25280,,   13180,,   12100,
"Ethnic origin population","    South Asian origins",,    1420,,     745,,     670,, 1963330,,  993595,,  969735,
"Ethnic origin population","      Bangladeshi",,       0,,       0,,       0,,   45940,,   23645,,   22300,
"Ethnic origin population","      Bengali",,      10,,      10,,      10,,   22900,,   11730,,   11180,
"Ethnic origin population","      Bhutanese",,       0,,       0,,       0,,    3600,,    1765,,    1835,
"Ethnic origin population","      East Indian",,     995,,     540,,     455,, 1374710,,  694990,,  679720,
"Ethnic origin population","      Goan",,      10,,       0,,       0,,    6070,,    2915,,    3155,
"Ethnic origin population","      Gujarati",,       0,,       0,,       0,,    8350,,    4305,,    4050,
"Ethnic origin population","      Kashmiri",,      10,,       0,,       0,,    3115,,    1605,,    1510,
"Ethnic origin population","      Nepali",,      55,,      25,,      30,,   17140,,    8715,,    8420,
"Ethnic origin population","      Pakistani",,     150,,      75,,      70,,  215555,,  110420,,  105140,
"Ethnic origin population","      Punjabi",,      65,,      30,,      40,,  118400,,   61155,,   57240,
"Ethnic origin population","      Sinhalese",,       0,,       0,,       0,,    7285,,    3605,,    3685,
"Ethnic origin population","      Sri Lankan",,     125,,      60,,      65,,  152595,,   75010,,   77585,
"Ethnic origin population","      Tamil",,      25,,      15,,      10,,   48670,,   24845,,   23825,
"Ethnic origin population","      South Asian origins; n.i.e.",125,      95,,      55,,      40,,   76400,,   38815,,   37585,
"Ethnic origin population","    East and Southeast Asian origins",,   12175,,    5325,,    6850,, 3163360,, 1467205,, 1696155,
"Ethnic origin population","      Burmese",,       0,,       0,,       0,,    9335,,    4535,,    4795,
"Ethnic origin population","      Cambodian (Khmer)",,      10,,       0,,       0,,   38490,,   18515,,   19980,
"Ethnic origin population","      Chinese",,    2020,,     955,,    1060,, 1769195,,  836150,,  933045,
"Ethnic origin population","      Filipino",,    8465,,    3520,,    4940,,  837130,,  369105,,  468025,
"Ethnic origin population","      Hmong",,       0,,       0,,       0,,     805,,     420,,     390,
"Ethnic origin population","      Indonesian",,      25,,      15,,      10,,   21390,,    9950,,   11440,
"Ethnic origin population","      Japanese",,     190,,      70,,     120,,  121485,,   53415,,   68070,
"Ethnic origin population","      Karen",,       0,,       0,,       0,,    4510,,    2275,,    2240,
"Ethnic origin population","      Korean",,    1580,,     800,,     785,,  198210,,   93680,,  104525,
"Ethnic origin population","      Laotian",,      10,,       0,,       0,,   24580,,   12190,,   12390,
"Ethnic origin population","      Malaysian",,      65,,      25,,      35,,   16920,,    7735,,    9185,
"Ethnic origin population","      Mongolian",,      25,,       0,,      20,,    7480,,    3560,,    3915,
"Ethnic origin population","      Singaporean",,      10,,       0,,      10,,    2850,,    1325,,    1520,
"Ethnic origin population","      Taiwanese",,      25,,      10,,      20,,   36510,,   16570,,   19945,
"Ethnic origin population","      Thai",,      20,,      10,,      10,,   19010,,    7330,,   11680,
"Ethnic origin population","      Tibetan",,       0,,       0,,       0,,    8040,,    4055,,    3985,
"Ethnic origin population","      Vietnamese",,     150,,      60,,      90,,  240615,,  115935,,  124680,
"Ethnic origin population","      East and Southeast Asian origins; n.i.e.",126,       0,,       0,,      10,,    6500,,    3150,,    3355,
"Ethnic origin population","    Other Asian origins",,      30,,      10,,      15,,   22745,,   11280,,   11460,
"Ethnic origin population","      Other Asian origins; n.i.e.",127,      30,,      10,,      20,,   22740,,   11280,,   11460,
"Ethnic origin population","  Oceania origins",,      20,,       0,,      20,,   85470,,   43030,,   42440,
"Ethnic origin population","    Australian",,      10,,       0,,       0,,   42315,,   21710,,   20605,
"Ethnic origin population","    New Zealander",,       0,,       0,,       0,,   15395,,    8065,,    7330,
"Ethnic origin population","    Pacific Islands origins",,      15,,       0,,      15,,   29485,,   14240,,   15250,
"Ethnic origin population","      Fijian",,      15,,       0,,      15,,   19375,,    9280,,   10090,
"Ethnic origin population","      Hawaiian",,       0,,       0,,       0,,    3295,,    1500,,    1795,
"Ethnic origin population","      Maori",,       0,,       0,,       0,,    2500,,    1310,,    1195,
"Ethnic origin population","      Polynesian; n.o.s.",128,       0,,       0,,       0,,    1530,,     725,,     805,
"Ethnic origin population","      Samoan",,       0,,       0,,       0,,    1100,,     625,,     475,
